0.852273,1
0.413716,2
0.258511,3
0.202644,4
0.176649,5
0.159968,6
0.147151,7
0.136565,8
0.127555,9
0.119764,10
0.112953,11
0.106947,12
0.10161,13
0.0968362,14
0.0925397,15
0.0886516,16
0.0851153,17
0.0818843,18
0.0789199,19
0.0761895,20
0.0736658,21
0.0713255,22
0.0691487,23
0.0671183,24
0.0652197,25
0.0634399,26
0.0617677,27
0.0601933,28
0.0587081,29
0.0573044,30
0.0559755,31
0.0547152,32
0.0535183,33
0.0523798,34
0.0512955,35
0.0502613,36
0.0492738,37
0.0483297,38
0.0474261,39
0.0465604,40
0.0457301,41
0.044933,42
0.044167,43
0.0434304,44
0.0427213,45
0.0420382,46
0.0413796,47
0.0407442,48
0.0401307,49
0.0395379,50
0.0389648,51
0.0384104,52
0.0378737,53
0.0373539,54
0.03685,55
0.0363615,56
0.0358875,57
0.0354274,58
0.0349805,59
0.0345463,60
0.0341242,61
0.0337137,62
0.0333143,63
0.0329255,64
0.0325469,65
0.0321781,66
0.0318186,67
0.0314682,68
0.0311265,69
0.0307931,70
0.0304676,71
0.03015,72
0.0298397,73
0.0295366,74
0.0292404,75
0.0289509,76
0.0286678,77
0.0283909,78
0.02812,79
0.0278549,80
0.0275954,81
0.0273413,82
0.0270925,83
0.0268487,84
0.0266099,85
0.0263757,86
0.0261463,87
0.0259212,88
0.0257005,89
0.025484,90
0.0252716,91
0.0250632,92
0.0248586,93
0.0246577,94
0.0244604,95
0.0242667,96
0.0240764,97
0.0238894,98
0.0237057,99
0.0235251,100
